image,label,problem,original_value,action
water_datasets/TUD-GV/images/exp11_126.jpg,water_datasets/TUD-GV/labels_txt/exp11_126.txt,box_extends_past_frame,0 0.436458 0.930556 0.041667 0.138889 -> x1=0.415625 y1=0.861112 x2=0.457292 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp14_pic151.jpg,water_datasets/TUD-GV/labels_txt/exp14_pic151.txt,box_extends_past_frame,0 0.626042 0.967593 0.051042 0.064815 -> x1=0.600521 y1=0.935186 x2=0.651563 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp14_pic320.jpg,water_datasets/TUD-GV/labels_txt/exp14_pic320.txt,box_extends_past_frame,0 0.778385 0.980093 0.027604 0.039815 -> x1=0.764583 y1=0.960186 x2=0.792187 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp16_pic103.jpg,water_datasets/TUD-GV/labels_txt/exp16_pic103.txt,box_extends_past_frame,0 0.971615 0.106481 0.056771 0.074074 -> x1=0.943230 y1=0.069444 x2=1.000001 y2=0.143518,"recorded, box kept"
water_datasets/TUD-GV/images/exp16_pic311.jpg,water_datasets/TUD-GV/labels_txt/exp16_pic311.txt,box_extends_past_frame,0 0.251563 0.978704 0.023958 0.042593 -> x1=0.239584 y1=0.957407 x2=0.263542 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp18_pic227.jpg,water_datasets/TUD-GV/labels_txt/exp18_pic227.txt,box_extends_past_frame,0 0.988542 0.275463 0.022917 0.037963 -> x1=0.977083 y1=0.256482 x2=1.000001 y2=0.294444,"recorded, box kept"
water_datasets/TUD-GV/images/exp18_pic228.jpg,water_datasets/TUD-GV/labels_txt/exp18_pic228.txt,box_extends_past_frame,0 0.985417 0.157407 0.029167 0.037037 -> x1=0.970834 y1=0.138888 x2=1.000001 y2=0.175925,"recorded, box kept"
water_datasets/TUD-GV/images/exp19_pic248.jpg,water_datasets/TUD-GV/labels_txt/exp19_pic248.txt,box_extends_past_frame,0 0.972917 0.258333 0.054167 0.122222 -> x1=0.945833 y1=0.197222 x2=1.000001 y2=0.319444,"recorded, box kept"
water_datasets/TUD-GV/images/exp23_pic378.jpg,water_datasets/TUD-GV/labels_txt/exp23_pic378.txt,box_extends_past_frame,0 0.797656 0.968056 0.036979 0.063889 -> x1=0.779166 y1=0.936111 x2=0.816146 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp23_pic388.jpg,water_datasets/TUD-GV/labels_txt/exp23_pic388.txt,box_extends_past_frame,0 0.63125 0.980093 0.036458 0.039815 -> x1=0.613021 y1=0.960186 x2=0.649479 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp27_pic149.jpg,water_datasets/TUD-GV/labels_txt/exp27_pic149.txt,box_extends_past_frame,0 0.417708 0.96713 0.036458 0.065741 -> x1=0.399479 y1=0.934260 x2=0.435937 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp27_pic228.jpg,water_datasets/TUD-GV/labels_txt/exp27_pic228.txt,box_extends_past_frame,0 0.582292 0.954167 0.103125 0.091667 -> x1=0.530730 y1=0.908334 x2=0.633854 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp27_pic237.jpg,water_datasets/TUD-GV/labels_txt/exp27_pic237.txt,box_extends_past_frame,0 0.582552 0.993056 0.028646 0.013889 -> x1=0.568229 y1=0.986112 x2=0.596875 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp27_pic256.jpg,water_datasets/TUD-GV/labels_txt/exp27_pic256.txt,box_extends_past_frame,0 0.326823 0.980093 0.048438 0.039815 -> x1=0.302604 y1=0.960186 x2=0.351042 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp27_pic277.jpg,water_datasets/TUD-GV/labels_txt/exp27_pic277.txt,box_extends_past_frame,0 0.759635 0.968056 0.092188 0.063889 -> x1=0.713541 y1=0.936111 x2=0.805729 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp27_pic337.jpg,water_datasets/TUD-GV/labels_txt/exp27_pic337.txt,box_extends_past_frame,0 0.639844 0.965741 0.078646 0.068519 -> x1=0.600521 y1=0.931481 x2=0.679167 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp27_pic345.jpg,water_datasets/TUD-GV/labels_txt/exp27_pic345.txt,box_extends_past_frame,0 0.70599 0.993519 0.041146 0.012963 -> x1=0.685417 y1=0.987038 x2=0.726563 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp27_pic99.jpg,water_datasets/TUD-GV/labels_txt/exp27_pic99.txt,box_extends_past_frame,0 0.67526 0.96713 0.041146 0.065741 -> x1=0.654687 y1=0.934260 x2=0.695833 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp30_pic61.jpg,water_datasets/TUD-GV/labels_txt/exp30_pic61.txt,box_extends_past_frame,0 0.477604 0.942593 0.047917 0.114815 -> x1=0.453645 y1=0.885185 x2=0.501563 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp30_pic65.jpg,water_datasets/TUD-GV/labels_txt/exp30_pic65.txt,box_extends_past_frame,0 0.57526 0.968519 0.054688 0.062963 -> x1=0.547916 y1=0.937037 x2=0.602604 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp50_pic377.jpg,water_datasets/TUD-GV/labels_txt/exp50_pic377.txt,box_extends_past_frame,0 0.985417 0.573611 0.029167 0.060185 -> x1=0.970834 y1=0.543519 x2=1.000001 y2=0.603703,"recorded, box kept"
water_datasets/TUD-GV/images/exp50_pic45.jpg,water_datasets/TUD-GV/labels_txt/exp50_pic45.txt,box_extends_past_frame,0 0.972917 0.364352 0.054167 0.082407 -> x1=0.945833 y1=0.323149 x2=1.000001 y2=0.405556,"recorded, box kept"
water_datasets/TUD-GV/images/exp50_pic639.jpg,water_datasets/TUD-GV/labels_txt/exp50_pic639.txt,box_extends_past_frame,0 0.28151 0.965741 0.038021 0.068519 -> x1=0.262499 y1=0.931481 x2=0.300520 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp50_pic864.jpg,water_datasets/TUD-GV/labels_txt/exp50_pic864.txt,box_extends_past_frame,0 0.972917 0.423148 0.054167 0.059259 -> x1=0.945833 y1=0.393519 x2=1.000001 y2=0.452777,"recorded, box kept"
water_datasets/TUD-GV/images/exp50_pic898.jpg,water_datasets/TUD-GV/labels_txt/exp50_pic898.txt,box_extends_past_frame,0 0.294271 0.966204 0.052083 0.067593 -> x1=0.268230 y1=0.932407 x2=0.320312 y2=1.000000,"recorded, box kept"
water_datasets/TUD-GV/images/exp53_pic138.jpg,water_datasets/TUD-GV/labels_txt/exp53_pic138.txt,box_extends_past_frame,0 0.672135 0.980093 0.030729 0.039815 -> x1=0.656771 y1=0.960186 x2=0.687500 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp53_pic85.jpg,water_datasets/TUD-GV/labels_txt/exp53_pic85.txt,box_extends_past_frame,0 0.615365 0.980093 0.025521 0.039815 -> x1=0.602605 y1=0.960186 x2=0.628126 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp53_pic87.jpg,water_datasets/TUD-GV/labels_txt/exp53_pic87.txt,box_extends_past_frame,0 0.524479 0.955556 0.045833 0.088889 -> x1=0.501563 y1=0.911111 x2=0.547396 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp54_218.jpg,water_datasets/TUD-GV/labels_txt/exp54_218.txt,box_extends_past_frame,0 0.989844 0.669444 0.020313 0.040741 -> x1=0.979687 y1=0.649074 x2=1.000000 y2=0.689814,"recorded, box kept"
water_datasets/TUD-GV/images/exp54_477.jpg,water_datasets/TUD-GV/labels_txt/exp54_477.txt,box_extends_past_frame,0 0.221875 0.978241 0.034375 0.043519 -> x1=0.204687 y1=0.956481 x2=0.239062 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp54_685.jpg,water_datasets/TUD-GV/labels_txt/exp54_685.txt,box_extends_past_frame,0 0.97474 0.376852 0.050521 0.062963 -> x1=0.949480 y1=0.345371 x2=1.000001 y2=0.408334,"recorded, box kept"
water_datasets/TUD-GV/images/exp54_763.jpg,water_datasets/TUD-GV/labels_txt/exp54_763.txt,box_extends_past_frame,0 0.409896 0.943519 0.066667 0.112963 -> x1=0.376562 y1=0.887038 x2=0.443229 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp55_197.jpg,water_datasets/TUD-GV/labels_txt/exp55_197.txt,box_extends_past_frame,0 0.682292 0.968056 0.110417 0.063889 -> x1=0.627084 y1=0.936111 x2=0.737501 y2=1.000001,"recorded, box kept"
water_datasets/TUD-GV/images/exp55_198.jpg,water_datasets/TUD-GV/labels_txt/exp55_198.txt,box_extends_past_frame,0 0.523958 0.956019 0.040625 0.087963 -> x1=0.503646 y1=0.912037 x2=0.544270 y2=1.000000,"recorded, box kept"
water_datasets/TUD-GV/images/exp55_198.jpg,water_datasets/TUD-GV/labels_txt/exp55_198.txt,box_extends_past_frame,0 0.976042 0.141204 0.047917 0.143519 -> x1=0.952083 y1=0.069444 x2=1.000001 y2=0.212964,"recorded, box kept"
water_datasets/TUD-GV/images/exp55_210.jpg,water_datasets/TUD-GV/labels_txt/exp55_210.txt,box_extends_past_frame,0 0.990365 0.35463 0.019271 0.059259 -> x1=0.980730 y1=0.325001 x2=1.000001 y2=0.384259,"recorded, box kept"
water_datasets/TUD-GV/images/exp55_219.jpg,water_datasets/TUD-GV/labels_txt/exp55_219.txt,box_extends_past_frame,0 0.98099 0.549537 0.038021 0.056481 -> x1=0.961979 y1=0.521297 x2=1.000001 y2=0.577778,"recorded, box kept"
water_datasets/TUD-GV/images/exp55_221.jpg,water_datasets/TUD-GV/labels_txt/exp55_221.txt,box_extends_past_frame,0 0.988542 0.639352 0.022917 0.047222 -> x1=0.977083 y1=0.615741 x2=1.000001 y2=0.662963,"recorded, box kept"
water_datasets/TUD-GV/images/exp55_222.jpg,water_datasets/TUD-GV/labels_txt/exp55_222.txt,box_extends_past_frame,0 0.994792 0.693056 0.010417 0.034259 -> x1=0.989584 y1=0.675926 x2=1.000001 y2=0.710186,"recorded, box kept"
water_datasets/TUD-GV/images/exp55_222.jpg,water_datasets/TUD-GV/labels_txt/exp55_222.txt,box_extends_past_frame,0 0.846094 0.981019 0.035937 0.037963 -> x1=0.828126 y1=0.962037 x2=0.864062 y2=1.000001,"recorded, box kept"
